1 312
2 349
3 350
4 333
5 309
6 312
7 311
8 288
9 287
10 277
11 261
12 277
13 250
14 238
15 238
16 237
17 239
18 227
19 216
20 198
21 195
22 197
23 173
24 151
25 121
26 121
27 121
28 121
29 116
30 113
31 116
32 109
33 109
34 109
35 108
36 109
37 107
38 107
39 106
40 107
41 103
42 103
43 97
44 97
45 97
46 86
47 79
48 72
49 65
50 55
51 52
52 52
53 52
54 48
55 49
56 46
57 45
58 42
59 42
60 39
61 39
62 39
63 36
64 34
65 34
66 33
67 33
68 32
69 32
70 31
71 30
72 28
73 25
74 23
75 20
76 19
77 19
78 19
79 18
80 17
81 16
82 16
83 15
84 14
85 13
86 13
87 12
88 11
89 10
90 10
91 9
92 9
93 8
94 7
95 6
96 5
97 4
98 3
99 2
100 1
