1 99
2 122
3 111
4 104
5 96
6 96
7 94
8 93
9 92
10 90
11 88
12 85
13 81
14 79
15 76
16 74
17 71
18 69
19 66
20 64
21 62
22 60
23 58
24 56
25 54
26 53
27 51
28 50
29 49
30 48
31 47
32 46
33 44
34 43
35 42
36 41
37 40
38 51
39 38
40 49
41 48
42 47
43 46
44 45
45 44
46 43
47 42
48 41
49 40
50 39
51 38
52 38
53 37
54 36
55 35
56 35
57 34
58 33
59 33
60 32
61 31
62 31
63 30
64 29
65 29
66 28
67 28
68 27
69 26
70 26
71 25
72 25
73 24
74 24
75 23
76 23
77 22
78 22
79 21
80 20
81 20
82 19
83 19
84 18
85 17
86 16
87 15
88 15
89 14
90 13
91 12
92 12
93 11
94 11
95 10
96 10
97 8
98 6
99 3
100 1
